Do you think Heads Up Display is useful?,Why do you think it is useful or why you don't like it?,Which features you have in your current vehicle(s)?,"Where would you prefer the projector to be?
A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,
B: The projector and the screen are integrated and seat at the top of the dashboard.","If there is a HUD device that also includes the top 4 features you selected above, what is your maximum acceptable price? (Price in USD, before tax)","If you would purchase the product from the previous question, would you rather:",one-part-machine vs add-on,"If you want new features on your car, what would you do?","Some features may need extra wiring throughout the car, how much extra would you like to pay to make them wireless.","If the product were priced according to your expectations and can be purchased through your desired channel,  how likely would you be to purchase the Heads UP Display (HUD)?",What is the model and year of your car?,Which city do you live in?,Which of the following best describes where you live?,What is your gender?,May I have your age range?,What is your field of occupation?,"If you don't mind, what is your annual income range?","How long do you spend on driving every day, pre-COVID-19?",A,B,C,D,E,F,G,H,I,J,Heads Up Display,Dashcam,Backup Camera,360° Backup Camera,Forward Collision Warning System,Voice Recognition,CarPlay/Android Auto,Blind Spot Check,Steering Wheel Controller,"No, I have no interest",Amazon/eBay,Canadian Tire,Costco,Bestbuy,Walmart/Target,Mr. Lube,Others(Q9),I use my car for routine transportation,I use my car to pick up/drop off my kid(s),"I like to drive around and explore new areas (e.g., restaurants)",I often use my car to go on road trips,My car is for professional use (I drive Uber or Lyft),Others(Q19)
No,"Important background: I'm an automobile enthusiast and live in a dense urban environment. 95% of the time while I'm driving I entirely disregard my speedometer. This would not change even with it being in my line of sight. 

Due to the frequency of changing conditions entering my field of view and areas I'm monitoring (pedestrians, potential pedestrians at each intersection, other cars changing lanes, animals, etc), I don't judge my speed using a speedometer, but a sense of how fast I'm moving. 

I'd love to pretend I can tell you how quickly objects wiz past me, but it's actually that I've come to learn my car. It's fairly easy even for a regular driver to learn the sound and feel of a car going a certain speed. It does have something to do with how fast things wiz past you, but only when in combination. 

I've observed both significant others, family members, and friends drive in the same manner. I'm certain that in a new car one would need to rely on a speedometer more often, but other than highway useage, it's not even in the the top 5 most critical things attention would be on in a city environment.","""Backup Camera"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,"No, I wouldn't buy it",Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will try to get and install new features as add-ons from car body shop,$ 75 - $ 100 USD,I would definitely not purchase the HUD,2010 Ford F150 Platinum,"Portland, OR",I live in a downtown area,Male,26 -  30 years old,"Marketing, Sales and Service","Over $100,000",Less than 30 minutes per day,0,0,35,0,0,15,0,50,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0
Yes,I think it's easier to see my speed while looking at the road. Instead of having to look down and miss what's going on. Most accidents happen because you're not paying attention. Honestly the 401 would be much clearer if we had more cars with HUD's,"""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,I'm fine if it is not messy,I would probably purchase the HUD,2017 Nissan,"Mississauga, Ontario",I live in a suburb area,Male,younger than 20 years old,Student,Prefer not to say,1 hour - 2 hours per day,10,40,40,10,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0
Yes,None,"""Heads Up Display""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably purchase the HUD,2007 Golf gti,"Bournemouth, UK",I live in a suburb area,Male,younger than 20 years old,Hospitality,"Less than $20,000",30 minutes - 59 minutes per day,10,0,30,0,0,0,10,0,50,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Yes,easier to see,"""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,I'm fine if it is not messy,I might or might not purchase the HUD,2014,Los Angeles,I live in a suburb area,Male,26 -  30 years old,"Science, Technology, Engineering and Mathematics",Prefer not to say,1 hour - 2 hours per day,20,20,0,50,0,0,0,10,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Yes,Allows driver to know important info without removing gaze.,"""Built-in Navigation"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,More than USD $ 800,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will try to get and install new features as add-ons from dealerships,$ 25 - $ 49 USD,I would probably purchase the HUD,2019 RAV4,Vaughan,I live in a suburb area,Male,20 - 25 years old,Student,"Less than $20,000",30 minutes - 59 minutes per day,0,0,10,0,20,40,0,0,30,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0
Yes,The name is self explanatory. Keeps eyes on the road and keeps you informed,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 400 - USD $ 499,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably purchase the HUD,1990 Skyline GT-R,Portland,I live in a suburb area,Male,20 - 25 years old,"Science, Technology, Engineering and Mathematics","Over $100,000",Less than 30 minutes per day,0,20,20,0,0,0,0,50,0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0
Yes,You spend less time moving your eyes and head looking for the information you need,"""Built-in Navigation"",""Dashcam"",""Voice Recognition"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,Under $ 25 USD,I would definitely purchase the HUD,2006 Chrysler 300C Heritage Edition,Oakville,I live in a suburb area,Male,20 - 25 years old,Automotive,Prefer not to say,30 minutes - 59 minutes per day,30,50,0,10,0,0,0,10,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
Maybe,Depends on the information displayed.,"""Dashcam"",""Steering Wheel Controller""",None,"No, I wouldn't buy it",None,None,I can buy aftermarket product and install it all by myself,None,I would definitely not purchase the HUD,2007 BMW 530xi Touring,Columbus,I live in a suburb area,Male,31 - 35 years old,"Science, Technology, Engineering and Mathematics","$60,000 to $79,999",1 hour - 2 hours per day,0,0,80,1,0,0,0,1,0,18,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Keeps your eyes on the road,"""Dashcam"",""Voice Recognition"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,Under $ 25 USD,I would definitely purchase the HUD,Toyota Venza 2011,Scarborough,I live in a suburb area,Prefer not to say,younger than 20 years old,Student,"Over $100,000",30 minutes - 59 minutes per day,20,20,20,0,20,20,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Don't have to look away from the road to check this info,"""Built-in Navigation"",""Backup Camera"",""Voice Recognition"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would probably purchase the HUD,2015 Toyota Corolla,Markham,I live in a suburb area,Female,26 -  30 years old,Student,"Less than $20,000",30 minutes - 59 minutes per day,0,0,10,40,0,0,0,20,30,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
Yes,can see your speed in front of you as opposed to having to look down at the speedometer,"""Backup Camera"",""Forward Collision Warning System""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,I don't care about wiring,I might or might not purchase the HUD,2018 Mazda 3,Toronto,I live in a suburb area,Male,20 - 25 years old,Student,"$20,000 to $39,999",Less than 30 minutes per day,0,0,0,0,20,30,0,10,40,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Yes,"To keep eyes on the road,",None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 500 - USD $ 599,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,I will buy a new car with the features I want,I'm fine if it is not messy,None,1985 honda accord hatchback (no Ecu so it wouldn't work without heavy modding),Minneapolis,I live in a suburb area,Male,26 -  30 years old,None,None,30 minutes - 59 minutes per day,20,30,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,"In high traffic conditions with other drivers acting unpredictably, every fraction of a second saved from looking away from your travel path is important. May also prevent unnoticed speed changes or navigational instructions on longer trips.","""Built-in Navigation"",""Backup Camera"",""360° Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 500 - USD $ 599,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,I will buy a new car with the features I want,I'm fine if it is not messy,None,2014 Silverado,"Baton Rouge, LA",I live in a suburb area,Male,31 - 35 years old,Architecture and Construction,"Over $100,000",1 hour - 2 hours per day,30,20,0,0,30,0,0,0,20,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
Yes,Less eye and head movement,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 500 - USD $ 599,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,I have all features on my current car,$ 75 - $ 100 USD,None,Bmw X5 2017,Vancouver,I live in a suburb area,Male,26 -  30 years old,Health Science,Prefer not to say,Less than 30 minutes per day,25,25,25,0,0,0,0,0,0,25,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
Yes,"I like it because I don't have to take my eyes off the road, and it's convenient!","""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,More than USD $ 800,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I can buy aftermarket product and install it all by myself,$ 75 - $ 100 USD,None,2010 Lexus IS 350 C,"Charlotte, North Carolina",I live in a downtown area,Male,younger than 20 years old,"Transportation, Distribution and Logistics","$60,000 to $79,999",30 minutes - 59 minutes per day,10,0,0,0,20,40,0,30,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0
Maybe,None,"""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 300 - USD $ 399,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,I'm fine if it is not messy,None,2007 Toyota Camry SE,Mississauga,I live in a suburb area,Male,20 - 25 years old,"Arts, Audio/Video Technology and Communications","$40,000 to $59,999",30 minutes - 59 minutes per day,30,0,30,30,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
Maybe,"It can be useful, and can be a distraction","""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I can buy aftermarket product and install it all by myself,I don't care about wiring,None,2019 Hyundai Santa Fe,Pennsylvania,I live in a rural area,Male,36 - 40 years old,Collision Repair Technician,Prefer not to say,30 minutes - 59 minutes per day,0,20,0,0,0,40,0,0,40,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0
Yes,"Easier to keep the drivers eyes more closely on the road, as such, it could be considered a safety feature","""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,None,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,None,None,2019 Hyundai Veloster,"Brisbane, Australia",I live in a suburb area,None,None,None,None,Less than 30 minutes per day,40,40,0,0,0,0,0,0,10,10,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Yes,It is useful to be able to keep my eyes on the road. It is sometimes difficult to see when wearing sunglasses.,"""Built-in Navigation"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 300 - USD $ 399,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,Above $ 100 USD,None,2018 GMC Terrain,St. Paul,I live in a suburb area,Female,26 -  30 years old,Health Science,"Over $100,000",Less than 30 minutes per day,0,5,0,15,0,0,0,25,5,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
Yes,Let’s you keep your eyes on the road for longer,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,Less than USD $ 100,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,I will buy a new car with the features I want,$ 25 - $ 49 USD,None,04 celica,Halifax,I live in a downtown area,Male,20 - 25 years old,Student,"$20,000 to $39,999",Less than 30 minutes per day,0,40,0,0,20,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
No,It forces drivers to look roads right in front instead of having to look further for better visibility,"""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""CarPlay/Android Auto"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I can buy aftermarket product and visit car body shop to install it,$ 25 - $ 49 USD,None,2020 Toyota RAV4,Chicago,I live in a suburb area,Male,26 -  30 years old,"Science, Technology, Engineering and Mathematics","$60,000 to $79,999",30 minutes - 59 minutes per day,0,0,60,10,0,10,0,0,20,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
Yes,"Allows me to look away from the road less, and the information is in a place where the road and surroundings are still in my peripheral vision while viewing the HUD","""Built-in Navigation"",""Heads Up Display"",""Dashcam"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 300 - USD $ 399,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,None,19 Stinger GT,Phoenix,I live in a suburb area,Male,41 - 45 years old,Business Management and Administration,Prefer not to say,30 minutes - 59 minutes per day,15,20,0,0,0,0,0,0,15,50,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0
Yes,Ensures that your eyes are on the road without having to constantly look down at the instrument cluster.,"""Backup Camera"",""Forward Collision Warning System"",""CarPlay/Android Auto"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,I'm fine if it is not messy,None,2020 Elantra,Irvine,I live in a downtown area,Male,20 - 25 years old,"Science, Technology, Engineering and Mathematics","$60,000 to $79,999",Less than 30 minutes per day,0,30,20,40,0,10,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0
Yes,"Allows for more information to be displayed with minimal blockage of what needs to be viewed, contrary to say a solid dashboard.",None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 400 - USD $ 499,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,I can buy aftermarket product and install it all by myself,Under $ 25 USD,None,2010 Dodge Grand Caravan,"Burlington, Ontario",I live in a suburb area,Male,20 - 25 years old,"Science, Technology, Engineering and Mathematics","$60,000 to $79,999",30 minutes - 59 minutes per day,40,0,0,0,5,50,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0
Yes,Keeps eyes on the road.,"""Heads Up Display"",""Dashcam"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I have all features on my current car,Under $ 25 USD,None,18 camry,orange county,I live in a suburb area,Male,31 - 35 years old,"Science, Technology, Engineering and Mathematics",Prefer not to say,30 minutes - 59 minutes per day,0,0,30,0,50,0,0,10,0,10,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Yes,Speed and Nav are all I need 99% of the time,"""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,I will try to get and install new features as add-ons from car body shop,I'm fine if it is not messy,None,2011 Chevy Cruze,South Carolina,I live in a suburb area,Male,31 - 35 years old,"Science, Technology, Engineering and Mathematics","$60,000 to $79,999",30 minutes - 59 minutes per day,0,44,5,0,0,0,0,0,33,16,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Yes,Gives you information without having to glance down at the instrument panel or screen,"""Built-in Navigation"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 400 - USD $ 499,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,I'm fine if it is not messy,None,2016 Ford Mustang GT Premium,"Richmond, VA",I live in a suburb area,Male,41 - 45 years old,Information Techonology,Prefer not to say,Less than 30 minutes per day,20,20,0,25,0,0,0,15,0,20,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Keeping eyes on the road level is highly convenient and safe.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,More than USD $ 800,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will try to get and install new features as add-ons from dealerships,I'm fine if it is not messy,None,Focus 2019,Helsinki,I live in a suburb area,Male,31 - 35 years old,Information Techonology,"$40,000 to $59,999",Less than 30 minutes per day,10,40,0,0,0,10,0,0,40,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,"You can see vehicle speed, and possibly other information, without taking your eyes off of the road.","""Built-in Navigation"",""Backup Camera"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,I don't care about wiring,None,2010 Hyundai Genesis Sedan 4.6,"Taylorville, IL",I live in a rural area,Male,36 - 40 years old,Information Techonology,"$60,000 to $79,999",30 minutes - 59 minutes per day,15,50,0,0,0,0,0,5,30,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Maybe,None,"""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,I'm fine if it is not messy,None,2019,Tampa,I live in a suburb area,Prefer not to say,younger than 20 years old,Student,None,30 minutes - 59 minutes per day,0,0,0,30,0,30,0,30,0,10,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Yes,They just make a very easy and quick glance at your speed without taking eyes fully off the road.,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will try to get and install new features as add-ons from car body shop,$ 25 - $ 49 USD,None,2018 Hyundai Elantra Sport,Lewisville,I live in a suburb area,Male,26 -  30 years old,Finance,"$40,000 to $59,999",1 hour - 2 hours per day,0,0,0,24,0,0,0,25,25,25,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Yes,Ability to see dash information without taking eyes off the road,"""Built-in Navigation"",""Dashcam"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,$ 25 - $ 49 USD,None,Nissan rogue 2017,"Aurora, Colorado",I live in a suburb area,Female,31 - 35 years old,Education and Training,"Less than $20,000",Less than 30 minutes per day,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0
Yes,Important information is available without looking away from the road.,"""Backup Camera"",""Voice Recognition""",B: The projector and the screen are integrated and seat at the top of the dashboard.,More than USD $ 800,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will try to get and install new features as add-ons from car body shop,Above $ 100 USD,None,Toyota RAV 2016,Dartmouth,I live in a suburb area,Prefer not to say,36 - 40 years old,"Science, Technology, Engineering and Mathematics","Over $100,000",1 hour - 2 hours per day,30,0,0,0,50,0,0,10,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Yes,None,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 300 - USD $ 399,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,I will buy a new car with the features I want,$ 75 - $ 100 USD,None,2009,Halifax,I live in a suburb area,Female,31 - 35 years old,Health Science,"Over $100,000",30 minutes - 59 minutes per day,30,15,0,15,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Yes,I've had it in every car for the past 5 years and to be it's now indispensable. I particularly like getting navigation details in the HUD,"""Built-in Navigation"",""Heads Up Display"",""Voice Recognition"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 400 - USD $ 499,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,$ 25 - $ 49 USD,None,2017 BMW 330e,Gardena,I live in a suburb area,Male,36 - 40 years old,Information Techonology,"$60,000 to $79,999",30 minutes - 59 minutes per day,40,30,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,I think it would help people keep their eyes on the road,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,"Buying a base machine (HUD only) with a lower price, with only 1-2 features. Then purchase additional hardware as add-ons that can be attached to the base machine",0,"I don't want any new features, cars should be kept simple",I'm fine if it is not messy,None,2006 Ford Mustang,Utah,I live in a suburb area,Male,younger than 20 years old,Architecture and Construction,"Less than $20,000",30 minutes - 59 minutes per day,0,0,10,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
Yes,It puts valuable information right in front of you where it can easily be seen,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I have all features on my current car,$ 50 - $ 74 USD,None,2017 SantaFe,Peterborough,I live in a rural area,Male,20 - 25 years old,Student,Prefer not to say,30 minutes - 59 minutes per day,50,0,0,10,0,30,0,0,10,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Yes,Less chance of taking your eyes off the road and potentially causing an accident,"""Backup Camera"",""Forward Collision Warning System"",""CarPlay/Android Auto"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I have all features on my current car,$ 25 - $ 49 USD,None,2019,Hamilton,I live in a downtown area,Female,20 - 25 years old,"Marketing, Sales and Service",Prefer not to say,30 minutes - 59 minutes per day,20,10,0,0,0,0,0,30,0,40,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Maybe,"It could be useful for displaying GPS or route information without the driver feeling compelled to check their phone or LCD screen, which would remove their eyes from the road","""Voice Recognition"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buying a slightly costly all-in-one product that may contain most of the features you want. (Probably also includes a few features you don't want),1,I will buy a new car with the features I want,I'm fine if it is not messy,None,2014 VW,Halifax,I live in a downtown area,Male,26 -  30 years old,Government and Public Administration,Prefer not to say,30 minutes - 59 minutes per day,10,0,30,0,0,0,20,0,0,40,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
